date,host,instance,type_instance,value
2022-02-20 16:58:00+00:00,10.95.161.208,node1-2048Kb,used,0.0
2022-02-20 16:58:00+00:00,10.95.161.208,node1-1048576Kb,free,0.0
2022-02-20 16:58:00+00:00,10.95.161.208,node1-1048576Kb,used,0.0
2022-02-20 16:58:00+00:00,10.95.161.209,mm-2048Kb,free,0.0
2022-02-20 16:58:00+00:00,10.95.161.209,mm-2048Kb,used,0.0
2022-02-20 16:58:00+00:00,10.95.161.209,mm-1048576Kb,free,0.0
2022-02-20 16:58:00+00:00,10.95.161.209,mm-1048576Kb,used,0.0
2022-02-20 16:58:00+00:00,10.95.161.209,node0-2048Kb,free,0.0
2022-02-20 16:58:00+00:00,10.95.161.209,node0-2048Kb,used,0.0
2022-02-20 16:58:00+00:00,10.95.161.209,node0-1048576Kb,free,0.0
2022-02-20 16:58:00+00:00,10.95.161.209,node0-1048576Kb,used,0.0
2022-02-20 16:58:00+00:00,10.95.161.209,node1-2048Kb,free,0.0
2022-02-20 16:58:00+00:00,10.95.161.209,node1-2048Kb,used,0.0
2022-02-20 16:58:00+00:00,10.95.161.209,node1-1048576Kb,free,0.0
2022-02-20 16:58:00+00:00,10.95.161.209,node1-1048576Kb,used,0.0
2022-02-20 16:59:00+00:00,10.95.161.205,mm-2048Kb,free,0.0
2022-02-20 16:59:00+00:00,10.95.161.205,mm-2048Kb,used,0.0
2022-02-20 16:59:00+00:00,10.95.161.205,mm-1048576Kb,free,0.0
2022-02-20 16:59:00+00:00,10.95.161.205,mm-1048576Kb,used,0.0
2022-02-20 16:59:00+00:00,10.95.161.205,node0-2048Kb,free,0.0
2022-02-20 16:59:00+00:00,10.95.161.205,node0-2048Kb,used,0.0
2022-02-20 16:59:00+00:00,10.95.161.205,node0-1048576Kb,free,0.0
2022-02-20 16:59:00+00:00,10.95.161.205,node0-1048576Kb,used,0.0
2022-02-20 16:59:00+00:00,10.95.161.205,node1-2048Kb,free,0.0
2022-02-20 16:59:00+00:00,10.95.161.205,node1-2048Kb,used,0.0
2022-02-20 16:59:00+00:00,10.95.161.205,node1-1048576Kb,free,0.0
2022-02-20 16:59:00+00:00,10.95.161.205,node1-1048576Kb,used,0.0
2022-02-20 16:59:00+00:00,10.95.161.206,mm-2048Kb,free,0.0
2022-02-20 16:59:00+00:00,10.95.161.206,mm-2048Kb,used,0.0
2022-02-20 16:59:00+00:00,10.95.161.206,mm-1048576Kb,free,0.0
2022-02-20 16:59:00+00:00,10.95.161.206,mm-1048576Kb,used,0.0
2022-02-20 16:59:00+00:00,10.95.161.206,node0-2048Kb,free,0.0
2022-02-20 16:59:00+00:00,10.95.161.206,node0-2048Kb,used,0.0
2022-02-20 16:59:00+00:00,10.95.161.206,node0-1048576Kb,free,0.0
2022-02-20 16:59:00+00:00,10.95.161.206,node0-1048576Kb,used,0.0
2022-02-20 16:59:00+00:00,10.95.161.206,node1-2048Kb,free,0.0
2022-02-20 16:59:00+00:00,10.95.161.206,node1-2048Kb,used,0.0
2022-02-20 16:59:00+00:00,10.95.161.206,node1-1048576Kb,free,0.0
2022-02-20 16:59:00+00:00,10.95.161.206,node1-1048576Kb,used,0.0
2022-02-20 16:59:00+00:00,10.95.161.207,mm-2048Kb,free,0.0
2022-02-20 16:59:00+00:00,10.95.161.207,mm-2048Kb,used,0.0
2022-02-20 16:59:00+00:00,10.95.161.207,mm-1048576Kb,free,0.0
2022-02-20 16:59:00+00:00,10.95.161.207,mm-1048576Kb,used,0.0
2022-02-20 16:59:00+00:00,10.95.161.207,node0-2048Kb,free,0.0
2022-02-20 16:59:00+00:00,10.95.161.207,node0-2048Kb,used,0.0
2022-02-20 16:59:00+00:00,10.95.161.207,node0-1048576Kb,free,0.0
2022-02-20 16:59:00+00:00,10.95.161.207,node0-1048576Kb,used,0.0
2022-02-20 16:59:00+00:00,10.95.161.207,node1-2048Kb,free,0.0
2022-02-20 16:59:00+00:00,10.95.161.207,node1-2048Kb,used,0.0
2022-02-20 16:59:00+00:00,10.95.161.207,node1-1048576Kb,free,0.0
2022-02-20 16:59:00+00:00,10.95.161.207,node1-1048576Kb,used,0.0
2022-02-20 16:59:00+00:00,10.95.161.208,mm-2048Kb,free,0.0
2022-02-20 16:59:00+00:00,10.95.161.208,mm-2048Kb,used,0.0
2022-02-20 16:59:00+00:00,10.95.161.208,mm-1048576Kb,free,0.0
2022-02-20 16:59:00+00:00,10.95.161.208,mm-1048576Kb,used,0.0
2022-02-20 16:59:00+00:00,10.95.161.208,node0-2048Kb,free,0.0
2022-02-20 16:59:00+00:00,10.95.161.208,node0-2048Kb,used,0.0
2022-02-20 16:59:00+00:00,10.95.161.208,node0-1048576Kb,free,0.0
2022-02-20 16:59:00+00:00,10.95.161.208,node0-1048576Kb,used,0.0
2022-02-20 16:59:00+00:00,10.95.161.208,node1-2048Kb,free,0.0
2022-02-20 16:59:00+00:00,10.95.161.208,node1-2048Kb,used,0.0
2022-02-20 16:59:00+00:00,10.95.161.208,node1-1048576Kb,free,0.0
2022-02-20 16:59:00+00:00,10.95.161.208,node1-1048576Kb,used,0.0
2022-02-20 16:59:00+00:00,10.95.161.209,mm-2048Kb,free,0.0
2022-02-20 16:59:00+00:00,10.95.161.209,mm-2048Kb,used,0.0
2022-02-20 16:59:00+00:00,10.95.161.209,mm-1048576Kb,free,0.0
2022-02-20 16:59:00+00:00,10.95.161.209,mm-1048576Kb,used,0.0
2022-02-20 16:59:00+00:00,10.95.161.209,node0-2048Kb,free,0.0
2022-02-20 16:59:00+00:00,10.95.161.209,node0-2048Kb,used,0.0
2022-02-20 16:59:00+00:00,10.95.161.209,node0-1048576Kb,free,0.0
2022-02-20 16:59:00+00:00,10.95.161.209,node0-1048576Kb,used,0.0
2022-02-20 16:59:00+00:00,10.95.161.209,node1-2048Kb,free,0.0
2022-02-20 16:59:00+00:00,10.95.161.209,node1-2048Kb,used,0.0
2022-02-20 16:59:00+00:00,10.95.161.209,node1-1048576Kb,free,0.0
2022-02-20 16:59:00+00:00,10.95.161.209,node1-1048576Kb,used,0.0
2022-02-20 17:00:00+00:00,10.95.161.205,mm-2048Kb,free,0.0
2022-02-20 17:00:00+00:00,10.95.161.205,mm-2048Kb,used,0.0
2022-02-20 17:00:00+00:00,10.95.161.205,mm-1048576Kb,free,0.0
2022-02-20 17:00:00+00:00,10.95.161.205,mm-1048576Kb,used,0.0
2022-02-20 17:00:00+00:00,10.95.161.205,node0-2048Kb,free,0.0
2022-02-20 17:00:00+00:00,10.95.161.205,node0-2048Kb,used,0.0
2022-02-20 17:00:00+00:00,10.95.161.205,node0-1048576Kb,free,0.0
2022-02-20 17:00:00+00:00,10.95.161.205,node0-1048576Kb,used,0.0
2022-02-20 17:00:00+00:00,10.95.161.205,node1-2048Kb,free,0.0
2022-02-20 17:00:00+00:00,10.95.161.205,node1-2048Kb,used,0.0
2022-02-20 17:00:00+00:00,10.95.161.205,node1-1048576Kb,free,0.0
2022-02-20 17:00:00+00:00,10.95.161.205,node1-1048576Kb,used,0.0
2022-02-20 17:00:00+00:00,10.95.161.206,mm-2048Kb,free,0.0
2022-02-20 17:00:00+00:00,10.95.161.206,mm-2048Kb,used,0.0
2022-02-20 17:00:00+00:00,10.95.161.206,mm-1048576Kb,free,0.0
2022-02-20 17:00:00+00:00,10.95.161.206,mm-1048576Kb,used,0.0
2022-02-20 17:00:00+00:00,10.95.161.206,node0-2048Kb,free,0.0
2022-02-20 17:00:00+00:00,10.95.161.206,node0-2048Kb,used,0.0
2022-02-20 17:00:00+00:00,10.95.161.206,node0-1048576Kb,free,0.0
2022-02-20 17:00:00+00:00,10.95.161.206,node0-1048576Kb,used,0.0
2022-02-20 17:00:00+00:00,10.95.161.206,node1-2048Kb,free,0.0
2022-02-20 17:00:00+00:00,10.95.161.206,node1-2048Kb,used,0.0
2022-02-20 17:00:00+00:00,10.95.161.206,node1-1048576Kb,free,0.0
2022-02-20 17:00:00+00:00,10.95.161.206,node1-1048576Kb,used,0.0
2022-02-20 17:00:00+00:00,10.95.161.207,mm-2048Kb,free,0.0
2022-02-20 17:00:00+00:00,10.95.161.207,mm-2048Kb,used,0.0
2022-02-20 17:00:00+00:00,10.95.161.207,mm-1048576Kb,free,0.0
2022-02-20 17:00:00+00:00,10.95.161.207,mm-1048576Kb,used,0.0
2022-02-20 17:00:00+00:00,10.95.161.207,node0-2048Kb,free,0.0
2022-02-20 17:00:00+00:00,10.95.161.207,node0-2048Kb,used,0.0
2022-02-20 17:00:00+00:00,10.95.161.207,node0-1048576Kb,free,0.0
2022-02-20 17:00:00+00:00,10.95.161.207,node0-1048576Kb,used,0.0
2022-02-20 17:00:00+00:00,10.95.161.207,node1-2048Kb,free,0.0
2022-02-20 17:00:00+00:00,10.95.161.207,node1-2048Kb,used,0.0
2022-02-20 17:00:00+00:00,10.95.161.207,node1-1048576Kb,free,0.0
2022-02-20 17:00:00+00:00,10.95.161.207,node1-1048576Kb,used,0.0
2022-02-20 17:00:00+00:00,10.95.161.208,mm-2048Kb,free,0.0
2022-02-20 17:00:00+00:00,10.95.161.208,mm-2048Kb,used,0.0
2022-02-20 17:00:00+00:00,10.95.161.208,mm-1048576Kb,free,0.0
2022-02-20 17:00:00+00:00,10.95.161.208,mm-1048576Kb,used,0.0
2022-02-20 17:00:00+00:00,10.95.161.208,node0-2048Kb,free,0.0
2022-02-20 17:00:00+00:00,10.95.161.208,node0-2048Kb,used,0.0
2022-02-20 17:00:00+00:00,10.95.161.208,node0-1048576Kb,free,0.0
2022-02-20 17:00:00+00:00,10.95.161.208,node0-1048576Kb,used,0.0
2022-02-20 17:00:00+00:00,10.95.161.208,node1-2048Kb,free,0.0
2022-02-20 17:00:00+00:00,10.95.161.208,node1-2048Kb,used,0.0
2022-02-20 17:00:00+00:00,10.95.161.208,node1-1048576Kb,free,0.0
2022-02-20 17:00:00+00:00,10.95.161.208,node1-1048576Kb,used,0.0
2022-02-20 17:00:00+00:00,10.95.161.209,mm-2048Kb,free,0.0
2022-02-20 17:00:00+00:00,10.95.161.209,mm-2048Kb,used,0.0
2022-02-20 17:00:00+00:00,10.95.161.209,mm-1048576Kb,free,0.0
2022-02-20 17:00:00+00:00,10.95.161.209,mm-1048576Kb,used,0.0
2022-02-20 17:00:00+00:00,10.95.161.209,node0-2048Kb,free,0.0
2022-02-20 17:00:00+00:00,10.95.161.209,node0-2048Kb,used,0.0
2022-02-20 17:00:00+00:00,10.95.161.209,node0-1048576Kb,free,0.0
2022-02-20 17:00:00+00:00,10.95.161.209,node0-1048576Kb,used,0.0
2022-02-20 17:00:00+00:00,10.95.161.209,node1-2048Kb,free,0.0
2022-02-20 17:00:00+00:00,10.95.161.209,node1-2048Kb,used,0.0
2022-02-20 17:00:00+00:00,10.95.161.209,node1-1048576Kb,free,0.0
2022-02-20 17:00:00+00:00,10.95.161.209,node1-1048576Kb,used,0.0
2022-02-20 17:01:00+00:00,10.95.161.205,mm-2048Kb,free,0.0
2022-02-20 17:01:00+00:00,10.95.161.205,mm-2048Kb,used,0.0
2022-02-20 17:01:00+00:00,10.95.161.205,mm-1048576Kb,free,0.0
2022-02-20 17:01:00+00:00,10.95.161.205,mm-1048576Kb,used,0.0
2022-02-20 17:01:00+00:00,10.95.161.205,node0-2048Kb,free,0.0
2022-02-20 17:01:00+00:00,10.95.161.205,node0-2048Kb,used,0.0
2022-02-20 17:01:00+00:00,10.95.161.205,node0-1048576Kb,free,0.0
2022-02-20 17:01:00+00:00,10.95.161.205,node0-1048576Kb,used,0.0
2022-02-20 17:01:00+00:00,10.95.161.205,node1-2048Kb,free,0.0
2022-02-20 17:01:00+00:00,10.95.161.205,node1-2048Kb,used,0.0
2022-02-20 17:01:00+00:00,10.95.161.205,node1-1048576Kb,free,0.0
2022-02-20 17:01:00+00:00,10.95.161.205,node1-1048576Kb,used,0.0
2022-02-20 17:01:00+00:00,10.95.161.206,mm-2048Kb,free,0.0
2022-02-20 17:01:00+00:00,10.95.161.206,mm-2048Kb,used,0.0
2022-02-20 17:01:00+00:00,10.95.161.206,mm-1048576Kb,free,0.0
2022-02-20 17:01:00+00:00,10.95.161.206,mm-1048576Kb,used,0.0
2022-02-20 17:01:00+00:00,10.95.161.206,node0-2048Kb,free,0.0
2022-02-20 17:01:00+00:00,10.95.161.206,node0-2048Kb,used,0.0
2022-02-20 17:01:00+00:00,10.95.161.206,node0-1048576Kb,free,0.0
2022-02-20 17:01:00+00:00,10.95.161.206,node0-1048576Kb,used,0.0
2022-02-20 17:01:00+00:00,10.95.161.206,node1-2048Kb,free,0.0
2022-02-20 17:01:00+00:00,10.95.161.206,node1-2048Kb,used,0.0
2022-02-20 17:01:00+00:00,10.95.161.206,node1-1048576Kb,free,0.0
2022-02-20 17:01:00+00:00,10.95.161.206,node1-1048576Kb,used,0.0
2022-02-20 17:01:00+00:00,10.95.161.207,mm-2048Kb,free,0.0
2022-02-20 17:01:00+00:00,10.95.161.207,mm-2048Kb,used,0.0
2022-02-20 17:01:00+00:00,10.95.161.207,mm-1048576Kb,free,0.0
2022-02-20 17:01:00+00:00,10.95.161.207,mm-1048576Kb,used,0.0
2022-02-20 17:01:00+00:00,10.95.161.207,node0-2048Kb,free,0.0
2022-02-20 17:01:00+00:00,10.95.161.207,node0-2048Kb,used,0.0
2022-02-20 17:01:00+00:00,10.95.161.207,node0-1048576Kb,free,0.0
2022-02-20 17:01:00+00:00,10.95.161.207,node0-1048576Kb,used,0.0
2022-02-20 17:01:00+00:00,10.95.161.207,node1-2048Kb,free,0.0
2022-02-20 17:01:00+00:00,10.95.161.207,node1-2048Kb,used,0.0
2022-02-20 17:01:00+00:00,10.95.161.207,node1-1048576Kb,free,0.0
2022-02-20 17:01:00+00:00,10.95.161.207,node1-1048576Kb,used,0.0
2022-02-20 17:01:00+00:00,10.95.161.208,mm-2048Kb,free,0.0
2022-02-20 17:01:00+00:00,10.95.161.208,mm-2048Kb,used,0.0
2022-02-20 17:01:00+00:00,10.95.161.208,mm-1048576Kb,free,0.0
2022-02-20 17:01:00+00:00,10.95.161.208,mm-1048576Kb,used,0.0
2022-02-20 17:01:00+00:00,10.95.161.208,node0-2048Kb,free,0.0
2022-02-20 17:01:00+00:00,10.95.161.208,node0-2048Kb,used,0.0
2022-02-20 17:01:00+00:00,10.95.161.208,node0-1048576Kb,free,0.0
2022-02-20 17:01:00+00:00,10.95.161.208,node0-1048576Kb,used,0.0
2022-02-20 17:01:00+00:00,10.95.161.208,node1-2048Kb,free,0.0
2022-02-20 17:01:00+00:00,10.95.161.208,node1-2048Kb,used,0.0
2022-02-20 17:01:00+00:00,10.95.161.208,node1-1048576Kb,free,0.0
2022-02-20 17:01:00+00:00,10.95.161.208,node1-1048576Kb,used,0.0
2022-02-20 17:01:00+00:00,10.95.161.209,mm-2048Kb,free,0.0
2022-02-20 17:01:00+00:00,10.95.161.209,mm-2048Kb,used,0.0
2022-02-20 17:01:00+00:00,10.95.161.209,mm-1048576Kb,free,0.0
2022-02-20 17:01:00+00:00,10.95.161.209,mm-1048576Kb,used,0.0
2022-02-20 17:01:00+00:00,10.95.161.209,node0-2048Kb,free,0.0
2022-02-20 17:01:00+00:00,10.95.161.209,node0-2048Kb,used,0.0
2022-02-20 17:01:00+00:00,10.95.161.209,node0-1048576Kb,free,0.0
2022-02-20 17:01:00+00:00,10.95.161.209,node0-1048576Kb,used,0.0
2022-02-20 17:01:00+00:00,10.95.161.209,node1-2048Kb,free,0.0
2022-02-20 17:01:00+00:00,10.95.161.209,node1-2048Kb,used,0.0
2022-02-20 17:01:00+00:00,10.95.161.209,node1-1048576Kb,free,0.0
2022-02-20 17:01:00+00:00,10.95.161.209,node1-1048576Kb,used,0.0
2022-02-20 17:02:00+00:00,10.95.161.205,mm-2048Kb,free,0.0
2022-02-20 17:02:00+00:00,10.95.161.205,mm-2048Kb,used,0.0
2022-02-20 17:02:00+00:00,10.95.161.205,mm-1048576Kb,free,0.0
2022-02-20 17:02:00+00:00,10.95.161.205,mm-1048576Kb,used,0.0
2022-02-20 17:02:00+00:00,10.95.161.205,node0-2048Kb,free,0.0
2022-02-20 17:02:00+00:00,10.95.161.205,node0-2048Kb,used,0.0
2022-02-20 17:02:00+00:00,10.95.161.205,node0-1048576Kb,free,0.0
2022-02-20 17:02:00+00:00,10.95.161.205,node0-1048576Kb,used,0.0
2022-02-20 17:02:00+00:00,10.95.161.205,node1-2048Kb,free,0.0
2022-02-20 17:02:00+00:00,10.95.161.205,node1-2048Kb,used,0.0
2022-02-20 17:02:00+00:00,10.95.161.205,node1-1048576Kb,free,0.0
2022-02-20 17:02:00+00:00,10.95.161.205,node1-1048576Kb,used,0.0
2022-02-20 17:02:00+00:00,10.95.161.206,mm-2048Kb,free,0.0
2022-02-20 17:02:00+00:00,10.95.161.206,mm-2048Kb,used,0.0
2022-02-20 17:02:00+00:00,10.95.161.206,mm-1048576Kb,free,0.0
2022-02-20 17:02:00+00:00,10.95.161.206,mm-1048576Kb,used,0.0
2022-02-20 17:02:00+00:00,10.95.161.206,node0-2048Kb,free,0.0
2022-02-20 17:02:00+00:00,10.95.161.206,node0-2048Kb,used,0.0
2022-02-20 17:02:00+00:00,10.95.161.206,node0-1048576Kb,free,0.0
2022-02-20 17:02:00+00:00,10.95.161.206,node0-1048576Kb,used,0.0
2022-02-20 17:02:00+00:00,10.95.161.206,node1-2048Kb,free,0.0
2022-02-20 17:02:00+00:00,10.95.161.206,node1-2048Kb,used,0.0
2022-02-20 17:02:00+00:00,10.95.161.206,node1-1048576Kb,free,0.0
2022-02-20 17:02:00+00:00,10.95.161.206,node1-1048576Kb,used,0.0
2022-02-20 17:02:00+00:00,10.95.161.207,mm-2048Kb,free,0.0
2022-02-20 17:02:00+00:00,10.95.161.207,mm-2048Kb,used,0.0
2022-02-20 17:02:00+00:00,10.95.161.207,mm-1048576Kb,free,0.0
2022-02-20 17:02:00+00:00,10.95.161.207,mm-1048576Kb,used,0.0
2022-02-20 17:02:00+00:00,10.95.161.207,node0-2048Kb,free,0.0
2022-02-20 17:02:00+00:00,10.95.161.207,node0-2048Kb,used,0.0
2022-02-20 17:02:00+00:00,10.95.161.207,node0-1048576Kb,free,0.0
2022-02-20 17:02:00+00:00,10.95.161.207,node0-1048576Kb,used,0.0
2022-02-20 17:02:00+00:00,10.95.161.207,node1-2048Kb,free,0.0
2022-02-20 17:02:00+00:00,10.95.161.207,node1-2048Kb,used,0.0
2022-02-20 17:02:00+00:00,10.95.161.207,node1-1048576Kb,free,0.0
2022-02-20 17:02:00+00:00,10.95.161.207,node1-1048576Kb,used,0.0
2022-02-20 17:02:00+00:00,10.95.161.208,mm-2048Kb,free,0.0
2022-02-20 17:02:00+00:00,10.95.161.208,mm-2048Kb,used,0.0
2022-02-20 17:02:00+00:00,10.95.161.208,mm-1048576Kb,free,0.0
2022-02-20 17:02:00+00:00,10.95.161.208,mm-1048576Kb,used,0.0
2022-02-20 17:02:00+00:00,10.95.161.208,node0-2048Kb,free,0.0
2022-02-20 17:02:00+00:00,10.95.161.208,node0-2048Kb,used,0.0
2022-02-20 17:02:00+00:00,10.95.161.208,node0-1048576Kb,free,0.0
2022-02-20 17:02:00+00:00,10.95.161.208,node0-1048576Kb,used,0.0
2022-02-20 17:02:00+00:00,10.95.161.208,node1-2048Kb,free,0.0
2022-02-20 17:02:00+00:00,10.95.161.208,node1-2048Kb,used,0.0
2022-02-20 17:02:00+00:00,10.95.161.208,node1-1048576Kb,free,0.0
2022-02-20 17:02:00+00:00,10.95.161.208,node1-1048576Kb,used,0.0
2022-02-20 17:02:00+00:00,10.95.161.209,mm-2048Kb,free,0.0
2022-02-20 17:02:00+00:00,10.95.161.209,mm-2048Kb,used,0.0
2022-02-20 17:02:00+00:00,10.95.161.209,mm-1048576Kb,free,0.0
2022-02-20 17:02:00+00:00,10.95.161.209,mm-1048576Kb,used,0.0
2022-02-20 17:02:00+00:00,10.95.161.209,node0-2048Kb,free,0.0
2022-02-20 17:02:00+00:00,10.95.161.209,node0-2048Kb,used,0.0
2022-02-20 17:02:00+00:00,10.95.161.209,node0-1048576Kb,free,0.0
2022-02-20 17:02:00+00:00,10.95.161.209,node0-1048576Kb,used,0.0
2022-02-20 17:02:00+00:00,10.95.161.209,node1-2048Kb,free,0.0
2022-02-20 17:02:00+00:00,10.95.161.209,node1-2048Kb,used,0.0
2022-02-20 17:02:00+00:00,10.95.161.209,node1-1048576Kb,free,0.0
2022-02-20 17:02:00+00:00,10.95.161.209,node1-1048576Kb,used,0.0
2022-02-20 17:03:00+00:00,10.95.161.205,mm-2048Kb,free,0.0
2022-02-20 17:03:00+00:00,10.95.161.205,mm-2048Kb,used,0.0
2022-02-20 17:03:00+00:00,10.95.161.205,mm-1048576Kb,free,0.0
2022-02-20 17:03:00+00:00,10.95.161.205,mm-1048576Kb,used,0.0
2022-02-20 17:03:00+00:00,10.95.161.205,node0-2048Kb,free,0.0
2022-02-20 17:03:00+00:00,10.95.161.205,node0-2048Kb,used,0.0
2022-02-20 17:03:00+00:00,10.95.161.205,node0-1048576Kb,free,0.0
2022-02-20 17:03:00+00:00,10.95.161.205,node0-1048576Kb,used,0.0
2022-02-20 17:03:00+00:00,10.95.161.205,node1-2048Kb,free,0.0
2022-02-20 17:03:00+00:00,10.95.161.205,node1-2048Kb,used,0.0
2022-02-20 17:03:00+00:00,10.95.161.205,node1-1048576Kb,free,0.0
2022-02-20 17:03:00+00:00,10.95.161.205,node1-1048576Kb,used,0.0
2022-02-20 17:03:00+00:00,10.95.161.206,mm-2048Kb,free,0.0
2022-02-20 17:03:00+00:00,10.95.161.206,mm-2048Kb,used,0.0
2022-02-20 17:03:00+00:00,10.95.161.206,mm-1048576Kb,free,0.0
2022-02-20 17:03:00+00:00,10.95.161.206,mm-1048576Kb,used,0.0
2022-02-20 17:03:00+00:00,10.95.161.206,node0-2048Kb,free,0.0
2022-02-20 17:03:00+00:00,10.95.161.206,node0-2048Kb,used,0.0
2022-02-20 17:03:00+00:00,10.95.161.206,node0-1048576Kb,free,0.0
2022-02-20 17:03:00+00:00,10.95.161.206,node0-1048576Kb,used,0.0
2022-02-20 17:03:00+00:00,10.95.161.206,node1-2048Kb,free,0.0
2022-02-20 17:03:00+00:00,10.95.161.206,node1-2048Kb,used,0.0
2022-02-20 17:03:00+00:00,10.95.161.206,node1-1048576Kb,free,0.0
2022-02-20 17:03:00+00:00,10.95.161.206,node1-1048576Kb,used,0.0
2022-02-20 17:03:00+00:00,10.95.161.207,mm-2048Kb,free,0.0
2022-02-20 17:03:00+00:00,10.95.161.207,mm-2048Kb,used,0.0
2022-02-20 17:03:00+00:00,10.95.161.207,mm-1048576Kb,free,0.0
2022-02-20 17:03:00+00:00,10.95.161.207,mm-1048576Kb,used,0.0
2022-02-20 17:03:00+00:00,10.95.161.207,node0-2048Kb,free,0.0
2022-02-20 17:03:00+00:00,10.95.161.207,node0-2048Kb,used,0.0
2022-02-20 17:03:00+00:00,10.95.161.207,node0-1048576Kb,free,0.0
2022-02-20 17:03:00+00:00,10.95.161.207,node0-1048576Kb,used,0.0
2022-02-20 17:03:00+00:00,10.95.161.207,node1-2048Kb,free,0.0
2022-02-20 17:03:00+00:00,10.95.161.207,node1-2048Kb,used,0.0
2022-02-20 17:03:00+00:00,10.95.161.207,node1-1048576Kb,free,0.0
2022-02-20 17:03:00+00:00,10.95.161.207,node1-1048576Kb,used,0.0
2022-02-20 17:03:00+00:00,10.95.161.208,mm-2048Kb,free,0.0
2022-02-20 17:03:00+00:00,10.95.161.208,mm-2048Kb,used,0.0
2022-02-20 17:03:00+00:00,10.95.161.208,mm-1048576Kb,free,0.0
2022-02-20 17:03:00+00:00,10.95.161.208,mm-1048576Kb,used,0.0
2022-02-20 17:03:00+00:00,10.95.161.208,node0-2048Kb,free,0.0
2022-02-20 17:03:00+00:00,10.95.161.208,node0-2048Kb,used,0.0
2022-02-20 17:03:00+00:00,10.95.161.208,node0-1048576Kb,free,0.0
2022-02-20 17:03:00+00:00,10.95.161.208,node0-1048576Kb,used,0.0
2022-02-20 17:03:00+00:00,10.95.161.208,node1-2048Kb,free,0.0
2022-02-20 17:03:00+00:00,10.95.161.208,node1-2048Kb,used,0.0
2022-02-20 17:03:00+00:00,10.95.161.208,node1-1048576Kb,free,0.0
2022-02-20 17:03:00+00:00,10.95.161.208,node1-1048576Kb,used,0.0
2022-02-20 17:03:00+00:00,10.95.161.209,mm-2048Kb,free,0.0
2022-02-20 17:03:00+00:00,10.95.161.209,mm-2048Kb,used,0.0
2022-02-20 17:03:00+00:00,10.95.161.209,mm-1048576Kb,free,0.0
2022-02-20 17:03:00+00:00,10.95.161.209,mm-1048576Kb,used,0.0
2022-02-20 17:03:00+00:00,10.95.161.209,node0-2048Kb,free,0.0
2022-02-20 17:03:00+00:00,10.95.161.209,node0-2048Kb,used,0.0
2022-02-20 17:03:00+00:00,10.95.161.209,node0-1048576Kb,free,0.0
2022-02-20 17:03:00+00:00,10.95.161.209,node0-1048576Kb,used,0.0
2022-02-20 17:03:00+00:00,10.95.161.209,node1-2048Kb,free,0.0
2022-02-20 17:03:00+00:00,10.95.161.209,node1-2048Kb,used,0.0
2022-02-20 17:03:00+00:00,10.95.161.209,node1-1048576Kb,free,0.0
2022-02-20 17:03:00+00:00,10.95.161.209,node1-1048576Kb,used,0.0
2022-02-20 17:04:00+00:00,10.95.161.205,mm-2048Kb,free,0.0
2022-02-20 17:04:00+00:00,10.95.161.205,mm-2048Kb,used,0.0
2022-02-20 17:04:00+00:00,10.95.161.205,mm-1048576Kb,free,0.0
2022-02-20 17:04:00+00:00,10.95.161.205,mm-1048576Kb,used,0.0
2022-02-20 17:04:00+00:00,10.95.161.205,node0-2048Kb,free,0.0
2022-02-20 17:04:00+00:00,10.95.161.205,node0-2048Kb,used,0.0
2022-02-20 17:04:00+00:00,10.95.161.205,node0-1048576Kb,free,0.0
2022-02-20 17:04:00+00:00,10.95.161.205,node0-1048576Kb,used,0.0
2022-02-20 17:04:00+00:00,10.95.161.205,node1-2048Kb,free,0.0
2022-02-20 17:04:00+00:00,10.95.161.205,node1-2048Kb,used,0.0
2022-02-20 17:04:00+00:00,10.95.161.205,node1-1048576Kb,free,0.0
2022-02-20 17:04:00+00:00,10.95.161.205,node1-1048576Kb,used,0.0
2022-02-20 17:04:00+00:00,10.95.161.206,mm-2048Kb,free,0.0
2022-02-20 17:04:00+00:00,10.95.161.206,mm-2048Kb,used,0.0
2022-02-20 17:04:00+00:00,10.95.161.206,mm-1048576Kb,free,0.0
2022-02-20 17:04:00+00:00,10.95.161.206,mm-1048576Kb,used,0.0
2022-02-20 17:04:00+00:00,10.95.161.206,node0-2048Kb,free,0.0
2022-02-20 17:04:00+00:00,10.95.161.206,node0-2048Kb,used,0.0
2022-02-20 17:04:00+00:00,10.95.161.206,node0-1048576Kb,free,0.0
2022-02-20 17:04:00+00:00,10.95.161.206,node0-1048576Kb,used,0.0
2022-02-20 17:04:00+00:00,10.95.161.206,node1-2048Kb,free,0.0
2022-02-20 17:04:00+00:00,10.95.161.206,node1-2048Kb,used,0.0
2022-02-20 17:04:00+00:00,10.95.161.206,node1-1048576Kb,free,0.0
2022-02-20 17:04:00+00:00,10.95.161.206,node1-1048576Kb,used,0.0
2022-02-20 17:04:00+00:00,10.95.161.207,mm-2048Kb,free,0.0
2022-02-20 17:04:00+00:00,10.95.161.207,mm-2048Kb,used,0.0
2022-02-20 17:04:00+00:00,10.95.161.207,mm-1048576Kb,free,0.0
2022-02-20 17:04:00+00:00,10.95.161.207,mm-1048576Kb,used,0.0
2022-02-20 17:04:00+00:00,10.95.161.207,node0-2048Kb,free,0.0
2022-02-20 17:04:00+00:00,10.95.161.207,node0-2048Kb,used,0.0
